          530   0.610770E-03   0.802250E-03   0.758330E-03   0.529968E-03   0.264377E-02   0.347261E-02   0.254496E-02   0.325037E-02
          535   0.563679E-03   0.740395E-03   0.708883E-03   0.570966E-03   0.232903E-02   0.305920E-02   0.251893E-02   0.292280E-02
          540   0.504999E-03   0.663320E-03   0.658016E-03   0.591723E-03   0.208054E-02   0.273280E-02   0.250725E-02   0.279862E-02
          545   0.440004E-03   0.577948E-03   0.615089E-03   0.600661E-03   0.200563E-02   0.263441E-02   0.249958E-02   0.304742E-02
          550   0.392255E-03   0.515229E-03   0.592601E-03   0.613415E-03   0.212817E-02   0.279536E-02   0.250250E-02   0.304659E-02
          555   0.401239E-03   0.527030E-03   0.591163E-03   0.634981E-03   0.237642E-02   0.312144E-02   0.251227E-02   0.285262E-02
          560   0.412416E-03   0.541712E-03   0.584544E-03   0.662597E-03   0.261467E-02   0.343439E-02   0.251040E-02   0.268318E-02
          565   0.401576E-03   0.527474E-03   0.563678E-03   0.691885E-03   0.270285E-02   0.355021E-02   0.249499E-02   0.298653E-02
          570   0.363668E-03   0.477680E-03   0.532192E-03   0.720165E-03   0.255665E-02   0.335817E-02   0.246774E-02   0.308793E-02
          575   0.304749E-03   0.400290E-03   0.502007E-03   0.744481E-03   0.218102E-02   0.286478E-02   0.242384E-02   0.289198E-02
          580   0.265996E-03   0.349387E-03   0.474340E-03   0.763383E-03   0.166168E-02   0.218263E-02   0.241695E-02   0.271926E-02
          585   0.257468E-03   0.338187E-03   0.459349E-03   0.779006E-03   0.134915E-02   0.177212E-02   0.240930E-02   0.271980E-02
          590   0.254349E-03   0.334089E-03   0.466797E-03   0.789036E-03   0.140469E-02   0.184506E-02   0.240652E-02   0.270515E-02
          595   0.259696E-03   0.341113E-03   0.486014E-03   0.794033E-03   0.146985E-02   0.193065E-02   0.242553E-02   0.254816E-02
          600   0.276619E-03   0.363342E-03   0.500796E-03   0.792902E-03   0.150988E-02   0.198323E-02   0.238013E-02   0.244775E-02
          605   0.287380E-03   0.377476E-03   0.505113E-03   0.788170E-03   0.158806E-02   0.208592E-02   0.235626E-02   0.246380E-02
          610   0.297272E-03   0.390468E-03   0.505964E-03   0.782829E-03   0.183065E-02   0.240457E-02   0.258273E-02   0.254871E-02
          615   0.311939E-03   0.409733E-03   0.508762E-03   0.778867E-03   0.209722E-02   0.275471E-02   0.273764E-02   0.262830E-02
          620   0.318928E-03   0.418914E-03   0.509894E-03   0.777504E-03   0.234745E-02   0.308339E-02   0.285155E-02   0.262851E-02
          625   0.319168E-03   0.419228E-03   0.508826E-03   0.783274E-03   0.250828E-02   0.329464E-02   0.285479E-02   0.257839E-02
          630   0.319885E-03   0.420171E-03   0.503145E-03   0.796493E-03   0.251327E-02   0.330119E-02   0.278168E-02   0.259364E-02
          635   0.330242E-03   0.433774E-03   0.499048E-03   0.810682E-03   0.233901E-02   0.307231E-02   0.256710E-02   0.257043E-02
          640   0.355800E-03   0.467345E-03   0.504094E-03   0.819677E-03   0.201960E-02   0.265275E-02   0.220781E-02   0.263286E-02
          645   0.388364E-03   0.510119E-03   0.517264E-03   0.817318E-03   0.163334E-02   0.214540E-02   0.207491E-02   0.259610E-02
          650   0.417350E-03   0.548191E-03   0.533652E-03   0.801713E-03   0.144230E-02   0.189447E-02   0.202961E-02   0.255436E-02
          655   0.436949E-03   0.573934E-03   0.549752E-03   0.774897E-03   0.152759E-02   0.200650E-02   0.244954E-02   0.256689E-02
          660   0.451009E-03   0.592403E-03   0.564756E-03   0.742570E-03   0.187498E-02   0.246280E-02   0.289549E-02   0.254736E-02
